
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
VAIRES 1,FR,FR,oil,Oil,,181.0,0.36,1.853658536585366,335.5121951219512,oil,oil_steam_or_gt
VAIRES 2,FR,FR,oil,Oil,,179.0,0.36,1.853658536585366,331.8048780487805,oil,oil_steam_or_gt
VAIRES 3,FR,FR,oil,Oil,,182.0,0.36,1.853658536585366,337.3658536585366,oil,oil_steam_or_gt
CHEYLAS,FR,FR,,,,485.0,,,485.0,hydro,hydro_psh
COCHE,FR,FR,,,2019.0,384.0,,,384.0,hydro,hydro_psh
GRAND MAISON,FR,FR,,,2017.0,1700.0,,,1700.0,hydro,hydro_psh
MONTEZIC,FR,FR,,,,910.0,,,910.0,hydro,hydro_psh
REVIN,FR,FR,,,,808.0,,,808.0,hydro,hydro_psh
SUPER BISSORTE,FR,FR,,,,742.3,,,742.3,hydro,hydro_psh
ASTON,FR,FR,,,,104.0,,,104.0,hydro,hydro_ror
AVIGNON,FR,FR,,,1973.0,126.0,,,126.0,hydro,hydro_ror
BAIX LOGIS NEUF 1,FR,FR,,,1960.0,140.0,,,140.0,hydro,hydro_ror
BEAUCHASTEL,FR,FR,,,1963.0,198.0,,,198.0,hydro,hydro_ror
BOURG les VALENCE,FR,FR,,,1968.0,180.0,,,180.0,hydro,hydro_ror
CADEROUSSE,FR,FR,,,1975.0,156.0,,,156.0,hydro,hydro_ror
CHASTANG,FR,FR,,,,293.0,,,293.0,hydro,hydro_ror
COUESQUE,FR,FR,,,,119.0,,,119.0,hydro,hydro_ror
DONZERE MONDRAGON,FR,FR,,,1952.0,348.0,,,348.0,hydro,hydro_ror
FESSENHEIM,FR,FR,,,,175.0,,,175.0,hydro,hydro_ror
FR_LA-MAREGES-P,FR,FR,,,2018.0,150.0,,,150.0,hydro,hydro_ror
FR_LA-STPIERRE-P,FR,FR,,,2018.0,122.0,,,122.0,hydro,hydro_ror
GENISSIAT,FR,FR,,,1948.0,420.0,,,420.0,hydro,hydro_ror
GERSTHEIM,FR,FR,,,,140.5,,,140.5,hydro,hydro_ror
HERMILLON,FR,FR,,,,115.6,,,115.6,hydro,hydro_ror
KEMBS,FR,FR,,,2016.0,162.1,,,162.1,hydro,hydro_ror
MARCKOLSHEIM,FR,FR,,,,156.2,,,156.2,hydro,hydro_ror
MONTELIMAR,FR,FR,,,1957.0,295.0,,,295.0,hydro,hydro_ror
OTTMARSHEIM,FR,FR,,,,156.0,,,156.0,hydro,hydro_ror
PASSY,FR,FR,,,,104.0,,,104.0,hydro,hydro_ror
RANDENS,FR,FR,,,,124.2,,,124.2,hydro,hydro_ror
RHINAU,FR,FR,,,2016.0,152.0,,,152.0,hydro,hydro_ror
SAINT PIERRE COGNET,FR,FR,,,,101.0,,,101.0,hydro,hydro_ror
SAUSSAZ,FR,FR,,,,145.4,,,145.4,hydro,hydro_ror
STRASBOURG,FR,FR,,,2016.0,147.8,,,147.8,hydro,hydro_ror
VALLABREGUES,FR,FR,,,1970.0,210.0,,,210.0,hydro,hydro_ror
VOGELGRUN,FR,FR,,,,140.5,,,140.5,hydro,hydro_ror
AIGLE,FR,FR,,,,360.0,,,360.0,hydro,hydro_reservoir
BATHIE,FR,FR,,,2018.0,592.0,,,592.0,hydro,hydro_reservoir
BORT,FR,FR,,,,235.0,,,235.0,hydro,hydro_reservoir
BROMMAT,FR,FR,,,,406.0,,,406.0,hydro,hydro_reservoir
COMBE D'AVRIEUX,FR,FR,,,,123.0,,,123.0,hydro,hydro_reservoir
CURBANS,FR,FR,,,,139.0,,,139.0,hydro,hydro_reservoir
MALGOVERT,FR,FR,,,,297.0,,,297.0,hydro,hydro_reservoir
